,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
47,Upernavik,100,GL,1570232528,74,72.79,-56.15,3.48,4.52
48,Saint-Joseph,0,FR,1570232775,87,43.56,6.97,19.0,2.6
49,Lompoc,1,US,1570232386,43,34.64,-120.46,24.44,5.7
50,Lorengau,100,PG,1570232294,81,-2.02,147.27,26.84,1.9
51,Flinders,75,AU,1570232320,82,-34.58,150.85,15.0,4.1
52,Barrow,39,AR,1570232776,96,-38.31,-60.23,5.06,3.4
53,Pevek,100,RU,1570232388,79,69.7,170.27,-0.41,12.25
54,Mukhen,0,RU,1570232777,63,48.19,136.14,5.69,1.95
55,Cherskiy,99,RU,1570232777,91,68.75,161.3,-4.22,6.275
56,Andros Town,40,BS,1570232777,83,24.73,-77.79,27.0,1.5
57,Acajutla,0,SV,1570232408,83,13.59,-89.83,25.0,2.1
58,Barabinsk,98,RU,1570232778,91,55.35,78.35,8.79,3.79
59,Inhambane,0,MZ,1570232778,83,-23.87,35.38,18.97,1.95
60,Kapaa,75,US,1570232778,69,22.08,-159.32,29.0,8.2
61,Cape Town,0,ZA,1570232591,93,-33.93,18.42,14.44,2.1
62,Kenai,75,US,1570232779,66,60.55,-151.26,12.22,6.2
63,Marsh Harbour,19,BS,1570232779,75,26.54,-77.06,27.36,4.71
64,Mahibadhoo,57,MV,1570232780,70,3.78,72.97,27.31,1.68
65,Norman Wells,20,CA,1570232305,64,65.28,-126.83,10.0,4.6
66,Estelle,0,FR,1570232780,52,43.97,3.47,19.0,1.5
67,Airai,8,TL,1570232290,37,-8.93,125.41,28.43,1.33
68,Dillon,90,US,1570232781,93,45.22,-112.64,5.56,2.6
69,Narsaq,100,GL,1570232192,26,60.91,-46.05,13.0,18.0
70,Kavieng,47,PG,1570232334,68,-2.57,150.8,28.77,2.56
71,Caucaia,75,BR,1570232781,74,-3.73,-38.66,27.0,4.6
72,Hermanus,0,ZA,1570232291,95,-34.42,19.24,12.78,0.45
73,Yellowknife,90,CA,1570232327,100,62.45,-114.38,6.0,4.6
74,Ulladulla,75,AU,1570232312,82,-35.36,150.48,17.22,4.1
75,Victoria,75,BN,1570232292,94,5.28,115.24,25.0,4.38
76,Requena,0,ES,1570232782,88,39.49,-1.1,20.0,1.5
77,Acapulco,75,MX,1570232783,74,16.86,-99.88,29.0,0.787
78,Sorland,98,NO,1570232355,60,67.67,12.69,6.88,6.106
79,Isangel,75,VU,1570232303,54,-19.55,169.27,27.0,6.2
80,Longyearbyen,75,NO,1570232381,90,78.22,15.63,0.0,1.0
81,Labuhan,5,ID,1570232784,59,-2.54,115.51,26.48,0.39
82,Fortuna,20,US,1570232286,59,40.6,-124.16,17.22,5.7
83,San Rafael,26,AR,1570232251,25,-34.61,-68.33,11.46,3.08
84,Ancud,20,CL,1570232389,87,-41.87,-73.83,8.0,1.0
85,Port-Cartier,75,CA,1570232785,75,50.03,-66.88,5.56,5.7
86,Vila Velha,75,BR,1570232335,74,-3.71,-38.6,27.0,4.6
87,San Patricio,97,PY,1570232326,95,-26.98,-56.83,19.39,3.09
88,Mayor Pablo Lagerenza,59,PY,1570232786,34,-19.93,-60.77,29.91,2.034
89,Santa Cruz de Tenerife,20,ES,1570232786,78,28.47,-16.25,22.78,3.1
90,Thompson,75,CA,1570232786,61,55.74,-97.86,9.0,4.6
91,Butaritari,100,KI,1570232786,76,3.07,172.79,27.29,5.965
92,Dikson,100,RU,1570232296,92,73.51,80.55,-3.67,11.18
93,Morant Bay,75,JM,1570232787,74,17.88,-76.41,29.0,7.2
94,Arraial do Cabo,0,BR,1570232297,75,-22.97,-42.02,22.94,10.81
95,Chuy,100,UY,1570232305,97,-33.69,-53.46,15.07,3.223
96,Talnakh,75,RU,1570232788,87,69.49,88.39,0.0,6.0
97,Haines Junction,55,CA,1570232346,50,60.75,-137.51,3.88,4.47
98,Tuktoyaktuk,40,CA,1570232789,93,69.44,-133.03,2.0,6.7
99,Santa Isabel do Rio Negro,96,BR,1570232427,97,-0.41,-65.02,23.53,0.731
100,Barentu,15,ER,1570232789,69,15.11,37.59,24.09,1.579
101,Shumskiy,99,RU,1570232789,52,54.83,99.13,3.61,1.06
102,Atuona,9,PF,1570232790,72,-9.8,-139.03,26.83,7.717
103,Naze,40,NG,1570232790,88,5.43,7.07,25.0,1.0
104,Bereda,0,ES,1570232790,93,43.27,-7.54,15.0,1.5
105,Buala,69,SB,1570232398,70,-8.15,159.59,28.7,2.517
106,Keningau,75,MY,1570232791,88,5.33,116.16,24.0,1.5
107,Marzuq,0,YE,1570232791,40,14.4,46.47,22.01,1.53
108,Lagos,20,NG,1570232791,94,6.46,3.39,25.0,1.0
109,Marienburg,75,DE,1570232792,93,52.12,9.98,9.44,5.1
110,Salinopolis,54,BR,1570232792,77,-0.61,-47.36,27.25,7.34
111,Maralal,44,KE,1570232792,75,1.1,36.7,16.61,4.41
112,Tiksi,100,RU,1570232242,89,71.64,128.87,-6.33,11.95
113,Saint-Philippe,90,CA,1570232793,65,45.36,-73.48,8.0,4.64
114,Leeton,97,AU,1570232793,40,-34.55,146.4,23.0,5.1
115,Dandong,0,CN,1570232794,44,40.12,124.37,9.69,8.6
116,Cap Malheureux,40,MU,1570232319,94,-19.98,57.61,23.0,3.6
117,Ilulissat,23,GL,1570232300,45,69.22,-51.1,7.0,1.5
118,Hita,0,JP,1570232795,68,33.31,130.95,22.78,1.5
119,Luang Prabang,91,LA,1570232795,94,19.89,102.14,19.57,0.43
120,Castro,20,CL,1570232795,87,-42.48,-73.76,8.0,1.0
121,Sola,0,TZ,1570232314,56,-3.17,33.8,21.35,4.81
122,Serenje,24,ZM,1570232796,81,-13.23,30.22,16.77,2.07
123,Laguna,40,BZ,1570232288,70,16.17,-88.94,31.0,1.14
124,Mar del Plata,22,AR,1570232352,33,-46.43,-67.52,11.98,5.14
125,Arauco,0,CL,1570232797,71,-37.25,-73.32,11.0,6.7
126,New Norfolk,20,AU,1570232797,53,-42.78,147.06,12.78,4.1
127,Poltavka,89,RU,1570232797,86,54.36,71.76,10.15,3.67
128,Maceio,75,BR,1570232506,73,-9.67,-35.74,25.0,4.6
129,Manuk Mangkaw,0,PH,1570232798,65,4.8,119.85,28.29,1.26
130,Bambous Virieux,40,MU,1570232292,94,-20.34,57.76,23.0,3.6
131,Boa Vista,20,BR,1570232792,55,2.82,-60.67,31.0,2.6
132,Jamestown,100,AU,1570232726,11,-33.21,138.6,32.81,10.05
133,Nantucket,1,US,1570232799,66,41.28,-70.1,13.33,8.2
134,Yarada,97,IN,1570232799,85,17.65,83.27,25.79,2.73
135,Bathsheba,20,BB,1570232323,88,13.22,-59.52,26.0,2.6
136,Kolondieba,87,ML,1570232800,91,11.09,-6.89,23.49,1.86
137,Puerto del Rosario,3,ES,1570232800,78,28.5,-13.86,23.0,6.2
138,Iqaluit,75,CA,1570232317,74,63.75,-68.52,2.0,5.1
139,Camacha,75,PT,1570232051,83,33.08,-16.33,23.0,2.6
140,Saldanha,15,PT,1570232801,82,41.42,-6.55,14.47,1.25
141,Hithadhoo,100,MV,1570232801,68,-0.6,73.08,27.66,3.87
142,Puttur,75,IN,1570232787,94,12.76,75.2,25.0,1.48
143,Bredasdorp,0,ZA,1570232802,81,-34.53,20.04,9.44,1.5
144,Adrar,68,DZ,1570232802,19,27.87,-0.29,24.0,4.6
145,Qaanaaq,88,GL,1570232802,83,77.48,-69.36,-4.49,0.46
146,Dustlik,55,UZ,1570232803,39,40.53,68.03,14.51,3.848
147,Gravdal,29,NO,1570232803,60,59.79,5.78,6.0,4.6
148,Pitimbu,40,BR,1570232803,83,-7.47,-34.81,24.0,3.6
149,Hun,75,BE,1570232803,93,50.34,4.87,12.22,3.6
150,Uarini,40,BR,1570232804,74,-2.98,-65.16,29.0,2.6
151,Riyadh,0,SA,1570232104,33,24.63,46.72,30.0,3.1
152,Chandur,71,IN,1570232804,89,20.82,77.97,22.28,2.198
153,Hit,0,IQ,1570232804,29,33.64,42.83,23.43,3.26
154,Valparaiso,90,US,1570232509,71,41.47,-87.06,14.0,2.6
155,Kruisfontein,9,ZA,1570232347,86,-34.0,24.73,11.48,1.98
156,Severo-Yeniseyskiy,94,RU,1570232805,85,60.37,93.04,2.17,4.283
157,Agadez,1,NE,1570232430,25,16.97,7.99,31.0,2.82
158,Lata,0,IN,1570232323,66,30.78,78.62,-0.52,2.14
159,Portland,20,US,1570232143,49,43.66,-70.25,8.33,10.3
160,Bani Walid,0,LY,1570232806,90,31.76,14.0,14.97,2.9
161,Chitral,99,PK,1570232806,88,35.85,71.79,-2.49,1.31
162,Maubin,75,MM,1570232807,94,16.73,95.65,26.0,2.6
163,Port Hardy,90,CA,1570232807,81,50.7,-127.42,12.0,4.1
164,Somerset,1,US,1570232807,54,41.77,-71.13,12.78,5.1
165,Huai Yot,83,TH,1570232713,90,7.79,99.63,23.75,0.46
166,Kalawit,0,PH,1570232808,77,7.91,122.53,27.21,0.318
167,Georgetown,40,GY,1570232292,88,6.8,-58.16,27.0,3.1
168,Yerbogachen,100,RU,1570232808,89,61.28,108.01,3.93,3.36
169,Borogontsy,61,RU,1570232809,74,62.67,131.17,-4.7,3.27
170,La Gomera,75,GT,1570232809,83,14.09,-91.05,29.0,2.1
171,Oudtshoorn,0,ZA,1570232809,71,-33.59,22.2,12.0,1.5
172,Batsfjord,75,NO,1570232809,80,70.63,29.72,1.0,6.2
173,Saint-Pierre,90,FR,1570232384,93,48.95,4.24,13.0,5.7
174,Kahului,40,US,1570232420,55,20.89,-156.47,31.0,13.4
175,Sungairaya,100,ID,1570232810,77,0.7,108.9,26.7,3.4
176,Egvekinot,61,RU,1570232307,91,66.32,-179.17,-4.63,2.879
177,Cacoal,17,BR,1570232811,60,-11.43,-61.44,27.44,1.43
178,Yeppoon,0,AU,1570232811,53,-23.13,150.74,23.0,1.5
179,Kijang,40,KR,1570232150,73,35.24,129.21,23.0,0.5
180,Jalu,0,LY,1570232812,71,29.03,21.55,22.19,6.97
181,Quesnel,90,CA,1570232608,81,52.98,-122.49,10.0,1.5
182,Celestun,13,MX,1570232812,77,20.87,-90.4,28.46,3.921
183,Gornyak,13,KZ,1570232813,35,51.0,81.46,5.34,1.528
184,Constitucion,40,MX,1570232302,29,23.99,-104.67,24.0,5.1
185,Pashiya,64,RU,1570232813,94,58.43,58.26,9.11,3.58
186,Klaksvik,40,FO,1570232306,87,62.23,-6.59,8.0,7.7
187,Mahebourg,40,MU,1570232328,94,-20.41,57.7,23.0,3.6
188,Sicamous,90,CA,1570232814,71,50.84,-118.99,13.89,1.5
189,Guerrero Negro,0,MX,1570232376,73,27.97,-114.04,20.41,6.35
190,Bandiagara,14,ML,1570232814,32,14.35,-3.61,30.93,3.56
191,Bertoua,89,CM,1570232815,98,4.58,13.68,20.15,0.54
192,Srednekolymsk,100,RU,1570232386,69,67.46,153.71,-3.66,7.4
193,Bonthe,100,SL,1570232815,89,7.53,-12.5,24.51,1.564
194,Capim Grosso,39,BR,1570232815,80,-11.38,-40.01,20.77,2.84
195,Pangai,75,TO,1570232816,64,-19.8,-174.35,24.0,5.1
196,Kodiak,75,US,1570232816,76,39.95,-94.76,13.33,3.6
197,Ayan,0,IR,1570232816,72,38.23,44.7,8.65,0.686
198,Hargeysa,43,SO,1570232817,76,9.56,44.06,20.34,3.1
199,Sur,16,OM,1570232297,51,22.57,59.53,28.24,4.76
200,Shizunai,92,JP,1570232817,83,42.33,142.37,15.65,10.7
201,Ponta do Sol,0,BR,1570232818,48,-20.63,-46.0,21.84,2.24
202,Kaeo,22,NZ,1570232818,91,-35.1,173.78,18.89,3.8
203,Gallup,1,US,1570232818,22,35.53,-108.74,24.0,8.2
204,Vila Franca do Campo,75,PT,1570232819,94,37.72,-25.43,23.33,5.7
205,Ixtapa,75,MX,1570232819,74,20.71,-105.21,30.0,5.1
206,Santa Vitoria do Palmar,100,BR,1570232819,97,-33.52,-53.37,14.98,3.93
207,Keetmanshoop,0,NA,1570232820,13,-26.57,18.15,21.0,4.1
208,Liezen,100,AT,1570232820,95,47.57,14.24,12.22,0.91
209,Hamilton,40,CA,1570232290,70,43.26,-79.87,10.56,1.5
210,Challakere,91,IN,1570232820,89,14.31,76.65,21.83,3.56
211,San Ramon,75,NI,1570232418,78,12.92,-85.84,25.0,0.882
212,Poum,56,MK,1570232396,82,41.28,20.71,9.14,0.7
213,Ghogha,0,IN,1570232821,82,21.69,72.28,25.65,2.94
214,Cayenne,20,GF,1570232821,83,4.94,-52.33,27.0,1.5
215,Todos Santos,5,MX,1570232822,58,23.45,-110.23,30.0,3.6
216,Praia,0,BR,1570232822,38,-20.25,-43.81,24.0,4.6
217,Phanom Sarakham,20,TH,1570232822,88,13.75,101.35,29.44,2.1
218,Jonesboro,1,US,1570232822,38,35.84,-90.7,25.0,3.6
219,Vaini,22,IN,1570232823,97,15.34,74.49,22.87,0.91
220,Skelleftea,54,SE,1570232823,74,64.75,20.95,1.0,4.6
221,Karratha,0,AU,1570232332,23,-20.74,116.85,25.25,3.19
222,Gunnedah,90,AU,1570232824,32,-30.98,150.25,21.67,3.6
223,Chokurdakh,100,RU,1570232824,96,70.62,147.9,-1.75,7.61
224,Halifax,90,CA,1570232800,93,44.65,-63.58,6.67,6.2
225,Mahon,75,IE,1570232824,100,51.89,-8.4,12.0,1.5
226,Ahuimanu,40,US,1570232825,66,21.44,-157.84,32.0,4.6
227,Hofn,100,IS,1570232825,99,64.25,-15.21,0.67,9.46
228,Lodwar,46,KE,1570232825,45,3.12,35.6,27.84,9.518
229,Puerto Baquerizo Moreno,40,EC,1570232825,83,-0.9,-89.6,22.0,7.2
230,Sao Filipe,0,CV,1570232302,81,14.9,-24.5,26.18,7.59
231,Eyl,2,SO,1570232300,92,7.98,49.82,22.73,2.82
232,Souillac,90,FR,1570232826,93,45.6,-0.6,14.0,2.1
233,Prabumulih,95,ID,1570232826,74,-3.5,104.19,23.41,1.54
234,East London,70,ZA,1570232827,81,-33.02,27.91,15.45,0.74
235,West Wendover,20,US,1570232827,22,40.74,-114.07,14.0,7.2
236,Kieta,99,PG,1570232289,68,-6.22,155.63,28.76,1.86
237,Hami,97,CN,1570232337,35,42.84,93.51,11.56,2.029
238,Katsuura,40,JP,1570232294,77,33.93,134.5,23.33,4.1
239,Markova,20,RU,1570232828,92,52.21,104.21,-3.0,2.0
240,Lufilufi,38,WS,1570232294,66,-13.87,-171.6,30.0,3.58
241,Kavaratti,61,IN,1570232342,73,10.57,72.64,27.45,2.86
242,Lagoa,0,PT,1570232829,68,37.14,-8.45,21.0,4.6
243,Kuching,75,MY,1570232829,100,1.56,110.34,23.0,0.77
244,Sompeta,6,IN,1570232830,83,18.93,84.6,23.54,1.06
245,Maragogi,3,BR,1570232337,74,-9.01,-35.22,25.52,7.716
246,Sesimbra,0,PT,1570232830,82,38.45,-9.1,18.33,2.6
247,Popondetta,90,PG,1570232831,85,-8.77,148.24,22.55,1.78
248,Belen,1,US,1570232831,77,34.66,-106.78,21.11,4.1
249,Mount Isa,9,AU,1570232131,15,-20.73,139.49,28.0,5.1
250,Tecoanapa,75,MX,1570232421,74,16.99,-99.26,29.0,0.88
251,Nanortalik,100,GL,1570232832,55,60.14,-45.24,7.76,4.51
252,Kaitangata,42,NZ,1570232832,65,-46.28,169.85,8.33,4.92
253,Mpika,19,ZM,1570232832,63,-11.84,31.4,18.29,2.95
254,Bubaque,92,GW,1570232833,77,11.28,-15.83,27.55,3.28
255,Brae,3,GB,1570232833,93,60.4,-1.35,9.0,4.1
256,Iracoubo,0,GF,1570232408,87,5.48,-53.21,25.41,2.38
257,Atar,0,MR,1570232833,15,20.52,-13.05,32.78,4.01
258,Paamiut,100,GL,1570232343,66,61.99,-49.67,6.7,10.57
259,Bandarbeyla,19,SO,1570232120,80,9.49,50.81,24.57,3.62
260,Mabaruma,0,GY,1570232834,84,8.2,-59.78,24.21,1.6
261,Marawi,89,PH,1570232835,82,8.0,124.29,25.56,3.13
262,Sitka,92,US,1570232835,72,37.17,-99.65,21.07,6.257
263,San Cristobal,86,HN,1570232310,88,14.68,-86.92,21.88,1.43
264,Ambatondrazaka,46,MG,1570232836,90,-17.82,48.43,15.43,1.56
265,Teya,75,MX,1570232344,62,21.05,-89.07,31.0,3.6
266,Pochutla,68,MX,1570232836,76,15.74,-96.47,28.89,0.27
267,Kenscoff,100,HT,1570232836,66,18.45,-72.29,30.0,2.6
268,Yar-Sale,17,RU,1570232291,80,66.83,70.83,0.23,5.36
269,Ignatovka,71,RU,1570232837,54,53.95,47.65,13.31,7.28
270,Vardo,1,US,1570232308,48,39.62,-77.74,18.0,5.7
271,Aborlan,40,PH,1570232837,88,9.44,118.55,26.0,1.0
272,Makakilo City,75,US,1570232740,65,21.35,-158.09,32.0,4.6
273,Galle,100,GN,1570232838,98,10.08,-12.83,21.68,0.789
274,Calvia,0,ES,1570232706,82,39.57,2.51,20.56,2.1
275,Port Macquarie,90,AU,1570232140,68,-31.43,152.91,19.44,3.6
276,Cabinda,94,AO,1570232839,86,-5.56,12.19,24.71,6.16
277,Hervey Bay,0,AU,1570232839,53,-25.3,152.85,26.11,3.1
278,Elko,1,US,1570232840,25,40.83,-115.76,12.0,6.2
279,Port Elizabeth,1,US,1570232318,50,39.31,-74.98,16.67,3.6
280,Tres Arroyos,46,AR,1570232840,96,-38.38,-60.28,5.25,3.554
281,Qorveh,0,IR,1570232840,33,35.17,47.8,8.12,2.406
282,Rovaniemi,0,FI,1570232841,86,66.5,25.72,-2.0,4.1
283,Whitehorse,20,CA,1570232818,43,60.72,-135.06,10.56,7.2
284,Cidreira,100,BR,1570232037,98,-30.17,-50.22,19.39,2.29
285,Veraval,90,FR,1570232842,100,49.65,0.71,13.0,2.6
286,Lakatoro,95,VU,1570232842,83,-16.11,167.42,27.0,7.7
287,Hualmay,39,PE,1570232842,90,-11.1,-77.61,16.22,10.18
288,Itaituba,89,BR,1570232843,91,-4.26,-55.99,23.44,0.81
289,Pisco,38,PE,1570232197,30,-13.71,-76.2,22.0,11.3
290,Hays,90,US,1570232843,100,38.88,-99.33,13.33,7.2
291,Puerto Ayacucho,40,CO,1570232843,83,5.66,-67.63,27.0,1.88
292,Sao Sebastiao,72,BR,1570232844,57,-3.15,-58.36,28.11,0.46
293,Sawakin,0,SD,1570232385,86,19.1,37.33,24.17,0.89
294,Provideniya,66,RU,1570232291,84,64.42,-173.23,-1.83,18.117
295,Mustang,1,US,1570232844,69,35.38,-97.72,28.0,2.6
296,Saint George,20,GR,1570232313,93,39.45,22.34,15.0,0.537
297,Geraldton,5,CA,1570232354,46,49.72,-86.95,10.0,1.0
298,Gat,98,SN,1570232216,88,14.69,-16.54,27.0,2.6
299,Starosubkhangulovo,30,RU,1570232432,61,53.1,57.43,5.85,2.6
300,Menzelinsk,0,RU,1570232845,54,55.73,53.11,15.0,7.0
301,Nainpur,0,IN,1570232846,90,22.43,80.11,20.13,0.48
302,Oranjestad,20,AW,1570232846,79,12.52,-70.03,29.0,7.7
303,Beboto,67,TD,1570232846,92,8.27,16.94,20.81,1.11
304,Flin Flon,75,CA,1570232847,70,54.77,-101.88,9.0,5.1
305,Berlevag,100,NO,1570232394,70,70.86,29.09,5.67,3.43
306,Altamira,100,BR,1570232847,92,-3.2,-52.21,23.03,0.35
307,Resistencia,90,AR,1570232847,100,-27.45,-58.99,18.0,5.1
308,Tura,100,RU,1570232848,92,64.27,100.22,2.91,3.682
309,Conde,32,BR,1570232848,77,-11.81,-37.61,25.35,8.762
310,Grand Gaube,40,MU,1570232377,94,-20.01,57.66,23.0,3.6
311,El Tigre,0,VE,1570232849,52,8.89,-64.25,28.11,3.149
312,Moramanga,99,MG,1570232849,95,-18.95,48.23,15.4,0.66
313,Saint-Leu,0,RE,1570232849,77,-21.15,55.28,23.0,2.1
314,Palmer,0,AU,1570232413,31,-34.85,139.16,28.33,5.1
315,Ozuluama,21,MX,1570232850,91,21.12,-98.35,22.41,0.78
316,Itoman,20,JP,1570232087,74,26.12,127.67,26.0,4.1
317,Santiago del Estero,50,AR,1570232850,71,-27.8,-64.26,15.45,5.11
318,Biala Podlaska,96,PL,1570232851,67,52.03,23.12,7.34,1.359
319,Talcahuano,0,CL,1570232852,71,-36.72,-73.12,11.0,6.7
320,Dzaoudzi,0,YT,1570232852,94,-12.79,45.27,25.0,1.5
321,Cockburn Town,100,TC,1570232853,82,21.46,-71.14,27.28,7.83
322,Sovetskiy,99,RU,1570232853,84,56.76,48.47,13.34,5.34
323,Lacombe,75,CA,1570232853,40,52.47,-113.73,12.78,1.5
324,Alofi,75,NU,1570232854,69,-19.06,-169.92,25.0,7.2
325,Ahipara,0,NZ,1570232854,91,-35.17,173.16,18.89,7.26
326,Encruzilhada do Sul,100,BR,1570232855,99,-30.54,-52.52,18.33,0.741
327,Aloleng,21,PH,1570232855,67,16.13,119.78,28.36,0.4
328,Phan Thiet,58,VN,1570232360,88,10.93,108.1,24.98,0.95
329,Fatezh,100,RU,1570232855,92,52.09,35.86,7.78,2.24
330,Banda Aceh,93,ID,1570232856,82,5.56,95.32,25.76,4.86
331,Santa Cruz de la Palma,90,ES,1570232856,78,28.68,-17.76,23.0,7.2
332,Goedereede,68,NL,1570232857,93,51.82,3.98,11.67,2.1
333,Avera,75,US,1570232341,52,33.19,-82.53,36.0,1.5
334,Tigil,46,RU,1570232857,61,57.8,158.67,4.8,8.15
335,Moranbah,0,AU,1570232857,32,-22.0,148.04,25.78,5.87
336,Rosarito,75,CO,1570232858,61,4.91,-75.23,26.0,1.5
337,Faanui,54,PF,1570232858,71,-16.48,-151.75,27.02,1.537
338,Leningradskiy,100,RU,1570232288,97,69.38,178.42,2.68,3.14
339,Pouebo,100,NC,1570232858,53,-20.4,164.57,24.4,1.75
340,Namibe,68,AO,1570232859,83,-15.19,12.15,20.66,4.66
341,Mwingi,2,KE,1570232859,84,-0.93,38.07,18.93,3.82
342,Foumban,98,CM,1570232859,92,5.73,10.9,16.77,0.32
343,Sisimiut,22,GL,1570232356,76,66.94,-53.67,4.74,9.44
344,Gaoual,87,GN,1570232860,90,11.75,-13.2,24.0,1.82
345,Saiki,40,JP,1570232860,83,32.95,131.89,22.0,2.1
346,Pimentel,43,BR,1570232416,85,-3.7,-45.5,24.29,1.31
347,Luderitz,0,NA,1570232316,76,-26.65,15.16,14.0,2.6
348,Chenghai,0,CN,1570232861,88,23.46,116.77,25.0,0.38
349,Makarov,100,RU,1570232861,92,48.62,142.78,1.1,3.02
350,Richards Bay,74,ZA,1570232861,91,-28.77,32.06,20.98,5.62
351,Miatli,17,RU,1570232862,41,43.08,46.83,14.65,2.3
352,Bhusawal,100,IN,1570232862,83,21.05,75.78,24.14,1.36
353,Nefteyugansk,100,RU,1570232862,86,61.09,72.61,4.0,3.0
354,Margate,20,AU,1570232863,53,-43.03,147.26,12.78,4.1
355,Hasaki,0,JP,1570232104,61,35.73,140.83,25.0,5.7
356,Anchorage,90,US,1570232801,66,61.22,-149.89,12.0,7.2
357,Hobyo,1,SO,1570232863,91,5.35,48.53,25.15,4.14
358,Quatre Cocos,40,MU,1570232324,94,-20.21,57.76,23.0,3.6
359,Kysyl-Syr,91,RU,1570232864,93,63.9,122.77,-3.01,1.78
360,Katherine,6,AU,1570232864,42,-14.47,132.26,29.0,2.1
361,Coquimbo,0,CL,1570232397,76,-29.95,-71.34,13.0,5.1
362,Gimli,91,CA,1570232865,72,50.63,-96.99,8.89,2.68
363,Vina del Mar,0,CL,1570232865,71,-33.02,-71.55,15.0,8.7
364,Meulaboh,100,ID,1570232379,81,4.14,96.13,26.27,4.898
365,Padang,82,ID,1570232214,85,-0.92,100.36,25.89,5.03
366,Mackay,75,CA,1570232378,50,53.65,-115.58,11.0,5.7
367,Nuuk,84,GL,1570232767,52,64.17,-51.74,6.0,4.6
368,Benghazi,18,LY,1570232866,62,32.12,20.07,24.05,5.73
369,Surgut,100,RU,1570232866,86,61.25,73.4,4.0,3.0
370,Necochea,100,AR,1570232372,95,-38.55,-58.74,10.56,0.45
371,Moron,86,HT,1570232867,78,18.56,-74.26,27.58,4.09
372,Rodrigues Alves,20,BR,1570232867,88,-7.74,-72.65,27.0,1.5
